t,I,L,Q,U,V,pa
5227513916.092798,0.027229572,0.0028298627378329495,-0.0027050450438683054,-0.0008311765309601297,-0.002026646,
5227513926.046079,0.032923352,0.004221199681899699,-0.0035889015401250903,0.002222231421287593,0.004309926,
5227513935.999358,0.03145002,0.0017373464421049853,0.0017251498000472882,-0.0002055014045977608,0.0010812061,
5227513945.952639,0.027643213,0.0064565968256520044,0.005808109692522584,0.0028201958032457166,-0.0035216382,
5227513955.905918,0.029254867,0.004832816402921112,-0.0006815483703354402,0.004784517342766819,-0.00016447766,
5227513965.859198,0.04069164,0.0016880332442981358,0.0013113190704481942,-0.0010629668524157155,0.0026749312,
5227513975.812478,0.037897144,0.005200979790569455,0.0009486399348545329,-0.005113733768579576,0.002409746,
5227513985.7657585,0.03869523,0.006038470673210655,-0.00598639226772434,-0.0007913505469483026,0.004899917,
5227513995.719038,0.043410875,0.0035109374187645187,-0.0034107274982188925,-0.0008328382144056291,-0.00032407284,
5227514005.672318,0.05343585,0.0047475235565072335,0.0014626583700821693,-0.004516592787934248,-0.0011799937,
5227514015.625599,0.06948296,0.015210880120771464,-0.006324769386110575,-0.013833588336400608,-0.005443345,-57.28503012018794
5227514025.578878,0.11021357,0.04283285801842156,-0.03439906800857628,-0.025521713229475867,0.0020085864,-71.71357901344359
5227514035.532158,0.15440503,0.07508714611912627,-0.06321440381493085,-0.04052182945818064,0.003031586,-73.6696156746822
5227514045.485438,0.16142772,0.0737857873489213,-0.061157609012617214,-0.04128061620857999,0.0076563885,-72.99057275604865
5227514055.438718,0.1501589,0.06826875869602399,-0.059733650340194455,-0.033053206061308765,0.009976735,-75.5211759620639
5227514065.391998,0.1197979,0.035498974220794365,-0.031902571936952555,-0.01556929910227786,-0.0015340878,-76.99319993012156
5227514075.345278,0.10594199,0.012758835153146048,-0.012643865368759496,-0.0017089596255732916,0.002069776,-86.151241698007
5227514085.298558,0.09233082,0.009250780712401693,-0.009236510239435709,0.0005136364334259111,0.0005274468,
5227514095.251838,0.09403473,0.003355415050695202,-0.0033448819369730504,-0.00026565953802432503,-4.9121314e-05,
5227514105.205118,0.09729409,0.009737822822321742,-0.0028225927420200414,0.009319772718882471,0.0010429798,
5227514115.158399,0.09960865,0.003231597970585732,0.0032244597707684532,-0.00021467331038039437,-0.004997657,
5227514125.111678,0.10613574,0.004022322459451314,-0.0022231593240461876,0.003352109871068215,-0.0029666014,
5227514135.064959,0.10408933,0.0017569759195553588,-0.001586389872613346,-0.0007552029885846655,0.0014894125,
5227514145.018238,0.107876115,0.009604408188630925,-0.0012373186377783406,-0.009524373955407627,0.0046023824,
5227514154.9715185,0.108651645,0.002320164932989219,-0.00037667195509357267,-0.002289384972982668,0.0013928289,
5227514164.924798,0.11431322,0.008476961667206987,-0.0015023249807478412,0.008342775243257945,-0.0013368034,
